48.16	146.82	430
43.92	147.47	53
45.21	148.57	113
50.44	156.28	59
50.83	157.1	54
50.82	157.16	55
47	152.29	104
49.98	155.99	55
50.89	157.44	52
45.65	149.56	95
44.06	148.22	64
46.97	150.99	142
43.32	146.44	50
43.2	146.79	55
43.11	146.75	62
43.06	146.48	60
43.3	146.8	51
43.06	146.61	57
43.17	146.56	50
43.42	146.4	61
43.67	147.19	60
50.48	148.85	592
43.09	146.8	52
44.31	147.79	89
43.45	146.43	55
44.18	149.04	51
49.97	156.36	51
49.6	151.21	326
44.46	148.78	50
46.13	151.45	84
43.12	146.28	58
43.79	147.21	77
48.32	153.2	169
45.49	148.29	139
46.15	149.21	143
50.05	156.11	56
46.29	153.33	52
46.33	153.43	60
46.27	153.51	66
46.09	153.27	52
46.88	152.81	54
46.76	150.42	166
44.32	148.74	54
52.17	157.51	118
44.45	148.37	79
43.32	146.27	55
49.83	149.68	416
46.88	151.56	52
44.68	146.86	82
44.63	146.93	80
48.28	157.15	66
49.33	156.15	58
51.12	157.78	57
44.37	147.77	100
49.72	157.4	57
46.69	152.6	60
51.99	157.58	133
48.32	154.42	59
44.39	148.05	82
46.62	151.49	83
44.47	148.11	55
51.9	157.22	88
47.04	151.86	119
50.3	156.69	69
43.6	146.39	68
44.79	148.99	67
51.94	151.58	554
44.5	149.31	50
44.85	149.39	56
44.52	149.18	55
44.44	149.22	52
44.51	149.1	52
44.8	149.79	54
44.55	149.03	57
46.01	149.51	162
43.85	146.26	97
47.15	152.52	94
48.12	152.74	111
46.18	151.45	79
50.18	154.5	146
44.88	149.23	64
49.71	155.96	69
46.06	150.82	120
48.56	153.19	140
44.78	149.27	75
45.22	148.36	147
50.98	156.22	112
44.53	147.79	106
46.58	151.57	91
51.16	156.54	96
44.2	148.2	70
44.47	147.55	84
50.16	154.99	126
49.59	152.91	221
47.15	151.09	149
51.75	155.21	231
51.49	156.62	95
49.35	155.63	62
43.88	147.69	70
48.25	146.59	479
47.59	152.84	128
48.59	153.01	140
46.83	152.27	61
44.69	149.7	52
44.45	149.69	51
44.46	149.68	51
44.52	149.8	53
44.73	149.72	56
45.97	149.15	146
49.05	153.58	101
48.83	155.2	61
44.02	148.82	54
44.2	148.73	50
44.38	149.58	50
44.26	149.42	50
44.18	148.89	57
44.11	149	50
44.1	148.82	50
48.76	154.92	53
44.41	149.34	50
51.06	156.59	141
44.26	148.09	87
46.78	151.9	96
51.18	157.64	66
44.03	149.16	63
48.31	148.61	377
48.79	150.1	342
44.91	150.29	56
49.87	156.28	86
48.48	153.67	100
44.08	148.91	50
49.45	154.35	109
46.27	151.72	115
50.25	155.69	135
44.1	148.17	57
48.88	153.92	138
44.55	148.06	64
44.59	146.58	91
45.34	150.11	54
44.7	146.51	130
50.5	148.9	575
45.81	151.25	58
44.76	147.59	108
43.95	146.7	78
43.91	146.6	70
47.46	152.31	132
52.27	157.33	134
51.13	157.7	61
44.05	148.15	52
43.62	146.34	77
44.48	148.27	51
52.53	152.26	555
51.32	156.67	112
43.96	147.9	58
43.99	147.23	73
44.45	149.77	52
44.47	149.64	53
44.41	149.62	54
43.49	146.65	58
46.85	147.26	268
47.63	152.63	143
48.75	154.31	51
51.55	150.64	543
45.82	149.12	129
47.84	146.01	417
48.17	146.21	483
46.76	150.64	154
46.12	149.34	123
43.41	146.75	59
48.3	146.35	479
49.16	154.15	120
44.85	146.2	134
51.23	157.71	50
43.84	146.64	75
51.48	157.44	112
43.48	146.43	59
43.7	147.66	62
49.17	147.84	535
46.62	150.56	196
51.05	156.44	140
47.01	152.29	112
50.21	147.73	622
44.04	149.53	56
44.54	148.12	65
44.43	148.18	82
44.47	148.2	69
49.24	155.6	56
49.41	155.6	51
44.29	147.75	97
51.32	156.88	96
51.17	156.28	120
51.61	156.94	120
44.42	148.65	104
45.08	147.07	92
45.14	153.49	56
47.42	153.17	82
50.93	156.12	84
46.18	151.51	74
47.62	150.3	244
44.79	149.96	56
47.79	152.87	78
46.25	150.93	97
43.15	146.27	89
45.42	151.38	52
48.37	153.9	83
49.06	146.59	573
45.53	150.17	95
47.62	152.57	142
43.33	146.36	57
43.83	148.73	50
50.12	148.74	582
47.53	155.81	50
44.35	151.15	83
47.45	146.69	414
51.22	150.77	498
49.78	155.86	50
49.22	155.01	51
50.8	157.05	55
49.56	155.92	76
49.03	153.49	134
47.53	154.52	56
44.21	148.14	64
44.17	149.3	50
44.89	146.64	173
45.83	150.7	111
45.65	152.17	52
44.33	146.67	154
49.13	154.09	150
44.5	149.41	51
50.2	156.72	80
43.82	147.98	65
49.64	155.75	56
46.32	146.27	271
44.01	148.12	50
46.49	149.87	103
44.15	146.88	117
47.58	152.65	141
48.58	153.41	114
51.68	156.94	117
43.99	147.63	82
48.84	154.8	88
44.45	147.9	88
43.27	146.49	56
43.82	146.4	79
47.26	151.13	141
51.33	157.57	76
46.63	150.01	148
49.77	149.29	489
43.16	146.48	65
46.52	149.83	152
52.56	157.74	120
46.35	152.01	96
49.28	147.69	542
44.41	147.1	110
44.67	150.29	52
46.44	149.56	151
50.2	156.28	75
49.63	147.83	576
43.85	146.88	69
43.62	147.66	53
49.13	156.19	51
49.61	156.36	83
49.65	156.32	84
45.96	149.52	130
44.62	150.34	54
45.27	150.05	50
43.42	146.26	61
46.87	151.9	118
44.55	148.12	72
46.51	149.88	204
44.17	148.77	73
45.16	152.01	62
45.29	150.09	50
46.67	152.59	53
49.67	156.31	61
49.23	157.61	50
43.78	147.74	56
52.37	156.82	172
50.95	157.7	84
51.01	156.85	117
44.77	149.89	61
47.45	153.01	120
44.57	149.47	52
50.34	155.17	118
46.19	152.21	51
44	148.6	65
47.74	151.33	184
49.04	156.1	50
46.08	149.57	143
43.94	146.13	114
44.56	148.75	50
45.31	151.8	95
43.85	149.12	56
46.05	151.32	75
45.83	150.69	84
51.35	157.96	51
49.96	150.52	378
46.4	150.15	190
46.09	151.7	56
44.63	148.2	52
46.41	152.37	55
50.91	157.24	50
49.27	155.62	94
44.15	149.23	50
49.04	155.08	82
48.31	153.9	87
51.54	157.28	70
47.1	152.34	94
43.45	147.3	58
52.35	152.41	495
48.6	153.27	153
