-12	48333
-11.95303327	48333
-11.90606654	48365
-11.8590998	47874
-11.81213307	47923
-11.76516634	48189
-11.71819961	48559
-11.67123288	47951
-11.62426614	47995
-11.57729941	48171
-11.53033268	47800
-11.48336595	48358
-11.43639922	48032
-11.38943249	47760
-11.34246575	47499
-11.29549902	48093
-11.24853229	47708
-11.20156556	47485
-11.15459883	47466
-11.10763209	46755
-11.06066536	46976
-11.01369863	46367
-10.9667319	44888
-10.91976517	43547
-10.87279843	41894
-10.8258317	41102
-10.77886497	41365
-10.73189824	41948
-10.68493151	42350
-10.63796477	42858
-10.59099804	43652
-10.54403131	44057
-10.49706458	44498
-10.45009785	44716
-10.40313112	45012
-10.35616438	45000
-10.30919765	45557
-10.26223092	46185
-10.21526419	46849
-10.16829746	46843
-10.12133072	47902
-10.07436399	47506
-10.02739726	47338
-9.980430528	47700
-9.933463796	47788
-9.886497065	47660
-9.839530333	48528
-9.792563601	48096
-9.745596869	47985
-9.698630137	47695
-9.651663405	47924
-9.604696673	47727
-9.557729941	47668
-9.510763209	47817
-9.463796477	48032
-9.416829746	47974
-9.369863014	47418
-9.322896282	47147
-9.27592955	46986
-9.228962818	46436
-9.181996086	45974
-9.135029354	45737
-9.088062622	43896
-9.04109589	42082
-8.994129159	38515
-8.947162427	33522
-8.900195695	28816
-8.853228963	27809
-8.806262231	30161
-8.759295499	34110
-8.712328767	37265
-8.665362035	40163
-8.618395303	41984
-8.571428571	43457
-8.52446184	44710
-8.477495108	45436
-8.430528376	45834
-8.383561644	46251
-8.336594912	46603
-8.28962818	46415
-8.242661448	47082
-8.195694716	46877
-8.148727984	46961
-8.101761252	46958
-8.054794521	46858
-8.007827789	46594
-7.960861057	45847
-7.913894325	45181
-7.866927593	43695
-7.819960861	41123
-7.772994129	37417
-7.726027397	31444
-7.679060665	28327
-7.632093933	30604
-7.585127202	36123
-7.53816047	40756
-7.491193738	43158
-7.444227006	44537
-7.397260274	45848
-7.350293542	46598
-7.30332681	46640
-7.256360078	46775
-7.209393346	47141
-7.162426614	46635
-7.115459883	46392
-7.068493151	45806
-7.021526419	44451
-6.974559687	43962
-6.927592955	42837
-6.880626223	42223
-6.833659491	42037
-6.786692759	42890
-6.739726027	44387
-6.692759295	44901
-6.645792564	45078
-6.598825832	43713
-6.5518591	41186
-6.504892368	36830
-6.457925636	35294
-6.410958904	38714
-6.363992172	43262
-6.31702544	45045
-6.270058708	45983
-6.223091977	46918
-6.176125245	46950
-6.129158513	47255
-6.082191781	47321
-6.035225049	47090
-5.988258317	46887
-5.941291585	46678
-5.894324853	46775
-5.847358121	46766
-5.800391389	46378
-5.753424658	45064
-5.706457926	44007
-5.659491194	42087
-5.612524462	37877
-5.56555773	33728
-5.518590998	34716
-5.471624266	38051
-5.424657534	40675
-5.377690802	41650
-5.33072407	43066
-5.283757339	44789
-5.236790607	46116
-5.189823875	46437
-5.142857143	47533
-5.095890411	47374
-5.048923679	47747
-5.001956947	47540
-4.954990215	47289
-4.908023483	47566
-4.861056751	47453
-4.81409002	47668
-4.767123288	47168
-4.720156556	46572
-4.673189824	46148
-4.626223092	46036
-4.57925636	45473
-4.532289628	44133
