51.97	1.25	14.28	11.57	7.02	11.67	2.12	0.07
50.21	1.46	16.41	10.39	7.46	11.27	2.94	0.07
50.08	1.93	15.6	11.62	7.66	10.69	2.92	0.34
51.04	1.35	16.4	9.69	7.29	10.82	2.65	0.13
52.29	0.74	15.06	8.97	8.14	13.19	1.81	0.04
49.18	1.69	13.95	12.11	7.26	12.33	2	0.15
50.82	1.59	14.21	12.85	6.61	11.25	2.16	0.16
49.85	1.54	14.07	12.24	6.95	11.31	2.17	0.15
50.87	1.52	14.38	12.38	6.69	11.28	2.11	0.17
50.31	1.52	14.13	12.23	7.26	11.25	2.14	0.16
50.38	1.54	14.46	12.22	6.91	11.29	2.1	0.17
50.93	1.6	14.02	12.59	6.63	11.35	2.13	0.18
50.74	1.58	14.29	12.39	7.07	11.33	2.1	0.18
50.99	1.57	14.8	12.28	7.14	11.39	2.05	0.2
51.13	1.58	14.24	12.27	6.94	11.26	2.1	0.19
50.7	1.64	14.14	12.55	6.61	11.42	2.1	0.18
50.73	1.56	13.95	12.35	6.57	11.38	2.25	0.17
51	1.56	13.86	12.39	7.11	11.43	2.18	0.21
50.34	1.48	13.96	12.43	6.96	11.23	2.03	0.17
50.92	1.64	14.09	12.6	6.51	11.35	2.17	0.2
50.56	1.58	14.13	12.39	6.95	11.42	2.18	0.18
50.11	1.46	14.38	12.41	6.78	11.34	2.1	0.16
51.22	1.61	14.08	12.34	7.04	11.36	2.15	0.17
50.44	1.45	13.88	12.41	7.16	11.39	2.12	0.19
50.89	1.5	14.21	12.35	7.08	11.5	2.25	0.16
51.18	1.5	14.2	12.39	7.15	11.57	2.16	0.15
51.09	1.5	14.55	12.2	6.74	11.22	2.1	0.2
51.38	1.67	13.97	12.87	6.64	11.15	2.14	0.2
51.43	1.61	14.17	12.75	6.72	11.32	2.1	0.21
50.55	1.57	14.55	12.33	6.64	11.17	2.1	0.16
50.55	1.54	14.2	12.3	6.79	11.26	2.11	0.18
51.39	1.57	14.29	12.38	6.97	11.33	2.1	0.17
51.23	1.59	14.12	12.4	6.58	11.34	2.13	0.16
51.39	1.6	14.19	12.42	7.06	11.39	2.13	0.2
51.3	1.58	14.14	12.28	6.81	11.36	2.06	0.18
51.29	1.52	14.39	12.37	7.22	11.45	2.08	0.16
50.77	1.61	14.32	12.29	7.05	11.13	2.17	0.17
50.85	1.61	14.26	12.41	6.82	11.19	2.15	0.17
50.57	1.64	13.96	12.31	7.05	11.26	2.15	0.17
50.27	1.64	14.14	12.37	6.65	11.06	2.25	0.19
50.56	1.63	14.34	12.35	6.6	11.23	2.14	0.18
50.26	1.62	14.28	12.28	6.54	11.11	2.18	0.14
50.11	1.62	14.14	12.34	6.49	11.31	2.18	0.19
50.9	1.61	14.18	12.41	6.57	11.32	2.17	0.18
50.27	1.52	14	12.39	6.55	11.28	2.2	0.17
50.95	1.55	13.81	12.49	6.72	11.25	2.15	0.17
50.19	1.45	14.27	12.21	6.68	11.45	2.15	0.16
50.33	1.54	13.81	12.36	6.37	11.5	2.18	0.18
50.61	1.49	13.85	12.36	6.79	11.58	2.15	0.18
50.89	1.6	14.18	12.47	6.65	11.51	2.12	0.21
50.55	1.54	14.03	12.49	6.77	11.57	2.17	0.2
50.78	1.64	14.04	12.38	6.88	11.56	2.21	0.17
50.09	1.56	13.85	12.42	6.7	11.42	2.21	0.17
50.55	1.58	14.03	12.23	6.66	11.44	2.17	0.21
49.41	1.54	14.39	12.3	6.65	11.28	2.09	0.17
49.94	1.46	14.22	12.02	6.48	11.26	2.11	0.16
50.64	1.59	14.68	12.48	6.84	11.41	2.14	0.17
50.74	1.58	14.54	12.36	7.02	11.36	2.1	0.15
50.42	1.52	14.36	12.44	6.64	11.31	2.18	0.17
50.32	1.53	14.46	12.47	6.76	11.37	2.12	0.19
50.84	1.48	14.27	12.31	7.18	11.33	2.17	0.16
50.54	1.58	14.38	12.16	6.94	11.52	2.11	0.18
51.39	1.56	14.5	12.26	7.07	11.36	2.11	0.18
50.66	1.52	14.52	12.42	6.83	11.38	2.14	0.18
50.93	1.54	14.16	12.61	6.61	11.27	2.13	0.18
51.22	1.53	14.07	12.32	6.68	11.42	2.12	0.18
51.13	1.52	14.54	12.6	6.58	11.54	2.1	0.16
49.63	1.53	13.98	12.54	6.75	11.45	2.08	0.16
45.3	5.43	11.55	17.37	4.58	10.4	2.85	0.62
50.65	1.55	14.21	12.55	7.47	11.36	2.04	0.16
50.25	1.5	13.75	12.67	6.93	11.41	2.07	0.15
50.63	1.66	14.03	12.8	6.56	11.39	2.13	0.19
50.55	1.56	14.02	12.79	6.85	11.48	2.18	0.2
50.07	1.63	13.75	12.37	6.84	11.39	2.05	0.17
50.14	1.64	13.72	12.83	6.29	11.53	2.15	0.18
50.41	1.61	13.58	12.95	6.59	11.32	2.16	0.2
51.42	1.23	13.94	12.16	7	12.01	2.11	0.06
51.36	1.16	14.06	12.22	6.98	12.04	2.14	0.06
51.6	1.22	14.2	12.31	7.06	12.03	2.14	0.07
51.48	1.26	14.19	12.55	7.15	12.09	2.11	0.07
51.37	1.24	13.65	12.57	7.05	11.87	2.14	0.07
51.34	1.21	13.85	12.43	7.12	11.91	2.12	0.06
51.79	1.25	13.67	12.45	7.2	11.87	2.14	0.05
51.34	1.27	14.3	12.26	7.23	12.04	2.02	0.07
51.66	1.28	13.67	12.7	7.11	12.31	2.24	0.09
51.52	1.25	13.97	12.65	7.17	12.28	2.14	0.06
51.64	1.33	13.82	12.55	6.73	12.12	2.17	0.08
51.55	1.24	13.63	12.44	7.09	12.24	2.14	0.07
50.62	1.25	14.3	12.45	7.02	11.94	2.12	0.06
52.78	1.34	13.93	12.83	6.98	12.39	2.17	0.08
51.74	1.24	13.86	12.44	6.63	12.05	2.14	0.07
51.57	1.22	13.65	12.29	7.05	12.17	2.12	0.06
50.71	1.26	13.97	12.21	6.79	11.92	2.1	0.05
51.23	1.23	13.76	12.27	6.71	11.96	2.11	0.07
50.75	1.31	14.3	12.01	7.16	11.81	2.04	0.06
51.75	1.46	13.65	13.23	6.61	11.35	2.16	0.07
51.8	1.27	14.01	11.99	6.8	12.04	2.11	0.06
51.99	1.28	13.88	12.08	6.96	11.86	2.08	0.06
50.98	1.27	14.04	12.12	6.92	11.99	2.03	0.07
52.09	1.22	14	12.01	6.85	11.94	2.02	0.06
52.07	1.25	14.02	12.07	6.7	11.95	2.12	0.09
51.66	1.24	13.6	12.22	6.82	11.84	2.05	0.06
51.57	1.12	13.67	12.18	6.76	11.86	2.1	0.07
51.43	1.27	13.94	12.02	7.46	11.75	2.05	0.08
51.81	1.17	14	12.11	7.32	11.82	2.17	0.09
50.83	1.2	13.96	12.14	6.91	11.89	2.02	0.07
51.49	1.18	14.18	12.11	7.14	11.81	2.1	0.07
51.62	1.16	13.76	12.11	7.11	11.81	2.07	0.07
51.7	1.27	13.86	12.2	6.99	11.89	2.16	0.09
51.5	1.19	13.63	12.1	6.73	11.88	2.06	0.06
51.14	1.26	13.74	12.13	6.63	11.92	2.09	0.07
50.94	1.24	13.65	12.03	6.87	11.87	2.05	0.05
51.25	1.21	14.3	12.4	7.1	12.11	2.15	0.06
51.52	1.26	14.49	12.4	7.27	11.98	2.09	0.05
51.83	1.28	13.82	12.59	7.04	12.09	2.16	0.07
51.38	1.22	13.74	12.17	6.87	11.84	2.13	0.09
52.06	1.21	14.15	12.36	7.03	11.69	2.1	0.04
50.9	1.13	14.78	11.66	7.46	11.87	2.05	0.05
52.07	1.28	14.1	12.4	7.53	12.17	2.07	0.05
50.49	1.23	13.97	12.2	6.67	12.01	2.04	0.04
50.48	1.07	14.4	11.72	7.34	12.08	2.05	0.05
50.1	1.09	14.67	11.8	7.5	12.15	2.07	0.05
51.17	1.08	14.38	11.14	7.72	12.63	1.93	0.07
50.61	1.11	14.29	11.93	7.64	12.01	2.04	0.05
50.52	1.17	14.68	11.49	7.35	11.92	2	0.05
50.99	1.13	13.78	12.12	7.13	11.99	2.04	0.06
49.94	1.13	14.26	11.79	7.41	12.1	1.98	0.04
51.22	1.09	14.96	11.85	7.37	11.93	2.03	0.03
51.12	1.08	14.11	11.7	7.53	12.21	2.03	0.04
51.28	1.08	14.23	11.88	7.3	12.11	2.04	0.06
49.97	1.1	14.37	11.57	7.45	12.04	2.02	0.03
50.47	1.02	14.38	11.02	7.5	12.37	1.98	0.05
50.88	1.08	14.47	11.72	7.68	12.11	2.07	0.05
50.95	1.09	14.85	11	7.67	12.52	1.97	0.04
50.64	1.07	14.49	11.7	7.47	12.22	2.06	0.05
50.69	1.21	14.17	11.62	7.56	11.94	1.99	0.04
50.51	1.09	14.38	11.65	7.67	11.96	2.05	0.05
50.36	1.06	14.9	10.94	7.92	12.45	1.94	0.06
50.08	1.17	13.53	12.12	7.15	11.79	1.99	0.03
50.97	1.19	14.1	12.38	6.99	11.9	2.05	0.06
50.8	1.09	14.53	11.72	7.68	11.98	1.99	0.06
49.34	1.1	14.18	11.75	7.22	12.03	1.98	0.06
50.69	1.09	14.55	11.71	7.27	12.12	2.02	0.04
50.85	1.19	14.34	11.66	7.57	11.99	2.08	0.04
50.04	1.14	14.08	12.16	6.88	12.01	2.09	0.04
50.94	1.14	14.89	11.66	7.68	12.02	2.07	0.06
50.41	1.12	14.82	11.97	7.31	11.96	1.97	0.04
50.39	1.1	14.73	11.67	7.47	12.21	2.05	0.05
51.87	1.24	14.56	12.1	6.97	12.03	2.08	0.06
50.54	1.16	14.29	11.7	7.6	12.04	2.02	0.04
50.79	1.14	14.65	11.69	7.43	12	2.04	0.05
50.93	1.27	13.72	12.15	7.11	12.08	2.05	0.04
51.62	1.17	14.27	11.71	7.62	12.22	2.01	0.04
51.35	1.2	13.62	12.17	6.83	11.86	2.02	0.05
51.84	1.16	14.29	11.55	7.22	11.84	2.09	0.04
50.58	1.12	14.45	11.63	7.41	11.98	2.02	0.05
51.29	1.26	13.97	12.27	6.91	11.82	2.05	0.06
50.66	1.15	14.14	11.74	7.53	12.03	2.02	0.05
51.05	0.95	15.36	8.71	8.08	13.22	1.87	0.14
51.85	1.54	15.54	9.24	7.63	11.61	3.17	0.08
51.1	1.51	15.76	9.51	7.55	11.49	2.83	0.09
51.17	1.53	15.28	9.51	7.54	11.38	2.79	0.09
50.81	1.46	15.05	10.1	7.57	12.1	2.43	0.05
51.52	1.66	15.07	9.96	7.24	11.48	2.75	0.13
51.1	1.74	15.29	9.55	7.23	11.35	2.96	0.14
50.85	1.65	15.29	9.75	7.98	10.93	2.92	0.09
51.41	1.24	15.45	8.83	7.95	12.32	2.63	0.06
51.26	1.36	15.89	9	7.62	11.67	2.96	0.23
51.34	1.56	15.31	9.85	7.38	11.18	3.08	0.13
49.7	1.25	15.9	9.2	8.1	11.8	2.58	0.1
50.38	1.48	15.53	9.52	8.92	11.09	2.68	0.08
50.73	1.46	15.34	9.4	8.92	11.15	2.72	0.09
50.85	1.53	15.45	9.66	7.5	11.53	2.68	0.1
50.26	1.16	15.8	9.35	8.21	11.99	2.44	0.07
50.34	1.21	15.88	9.1	8.04	12.23	2.46	0.1
51.04	1.14	15.72	8.6	8.2	12.23	2.5	0.08
50.51	1.11	15.63	9.05	8	12.09	2.51	0.07
50.55	1.16	15.68	9.19	8.22	11.95	2.47	0.08
50.94	1.46	14.99	9.59	7.55	12.09	2.65	0.08
51.02	1.45	14.92	9.73	7.4	11.97	2.68	0.07
50.95	1.89	14.93	10.19	7.22	11.01	2.93	0.09
50.12	1.57	15.19	9.82	7.63	11.33	2.56	0.32
50.38	1.63	15.08	10.36	7.66	11.36	2.78	0.09
50.64	1.68	14.98	10.68	7.85	10.88	2.74	0.15
50.48	1.64	15.31	10.62	7.82	11.22	2.74	0.08
50.56	1.58	15.3	9.69	7.79	11.39	2.54	0.29
50.55	1.55	15.54	9.84	7.78	11.36	2.51	0.29
50.65	1.35	15.4	9.41	8.02	12	2.68	0.04
50.22	1.65	15.57	10.21	7.96	11.52	2.55	0.05
50.14	1.68	15.43	10.45	8	11.49	2.56	0.04
50.91	1.82	14.94	9.9	7.44	10.72	2.72	0.69
51.9	1.52	15.45	9.53	7.34	10.82	2.97	0.25
50.72	1.82	15.04	10.01	7.45	10.71	2.77	0.65
51.8	1.63	15.34	9.84	6.51	10.74	2.72	0.57
51.46	1.9	14.98	10.3	6.1	10.54	2.85	0.62
50.74	1.9	14.92	10.67	6.25	10.23	2.84	0.65
51.68	1.63	14.85	9.84	7.15	10.5	2.64	0.59
51.75	1.63	14.8	9.9	7.24	10.54	2.57	0.58
51.88	1.54	15.2	9.43	7.4	10.76	2.92	0.24
50.9	1.68	14.71	10.48	7.39	10.48	2.97	0.17
50.72	1.7	14.61	10.57	7.34	10.61	2.97	0.18
51.02	1.76	14.69	10.75	7.45	10.43	2.93	0.18
50.24	1.75	15.45	9.84	7.58	10.81	2.93	0.15
50.67	1.7	15.53	9.73	7.44	10.9	2.92	0.16
50.51	1.72	15.55	9.92	7.58	10.95	2.87	0.16
51.04	1.34	14.95	10.36	7.7	12.24	2.13	0.07
51.06	1.3	14.88	10.35	7.8	12.18	2.14	0.05
50.93	1.16	15.07	9.67	8.11	12.39	2.1	0.06
50.89	1.26	15.08	10.03	7.9	12.25	2.23	0.05
51.13	1.18	15.15	9.74	7.99	12.35	2.11	0.04
50.98	1.17	15.18	9.73	8.04	12.44	2.12	0.05
50.54	1.2	15.15	9.87	7.95	12.19	2.16	0.06
50.72	1.19	14.97	9.7	8.21	12.5	2.13	0.07
51.09	1.26	14.93	10.11	7.92	12.26	2.17	0.07
