0.0416667	9.95833	19.5
0.125	9.95833	19.4
0.208333	9.95833	19.5
0.291667	9.95833	19.9
0.375	9.95833	20.3
0.458333	9.95833	20.7
0.541667	9.95833	20.9
0.625	9.95833	21
0.708333	9.95833	21.3
0.791667	9.95833	21.7
0.875	9.95833	22
0.958333	9.95833	22.1
1.04167	9.95833	22.2
1.125	9.95833	22.2
1.20833	9.95833	22.4
1.29167	9.95833	22.5
1.375	9.95833	22.6
1.45833	9.95833	22.5
1.54167	9.95833	22.5
1.625	9.95833	22.3
1.70833	9.95833	22.3
1.79167	9.95833	22.1
1.875	9.95833	21.7
1.95833	9.95833	21.2
2.04167	9.95833	21.1
2.125	9.95833	20.9
2.20833	9.95833	20.7
2.29167	9.95833	20.2
2.375	9.95833	19.6
2.45833	9.95833	19
2.54167	9.95833	18.5
2.625	9.95833	18
2.70833	9.95833	17.5
2.79167	9.95833	17.1
2.875	9.95833	16.4
2.95833	9.95833	15.6
3.04167	9.95833	14.9
3.125	9.95833	14.4
3.20833	9.95833	13.9
3.29167	9.95833	13.6
3.375	9.95833	12.7
3.45833	9.95833	11.6
3.54167	9.95833	10.8
3.625	9.95833	10.5
3.70833	9.95833	10.6
3.79167	9.95833	10.1
3.875	9.95833	9.2
3.95833	9.95833	8.4
4.04167	9.95833	8.1
4.125	9.95833	8.4
4.20833	9.95833	8.5
4.29167	9.95833	8.3
4.375	9.95833	8.4
4.45833	9.95833	8.7
4.54167	9.95833	8.9
4.625	9.95833	9.1
4.70833	9.95833	9
4.79167	9.95833	9
4.875	9.95833	9.2
4.95833	9.95833	9.2
5.04167	9.95833	9.2
5.125	9.95833	9.2
5.20833	9.95833	9.3
5.29167	9.95833	9.4
5.375	9.95833	9.4
5.45833	9.95833	9.5
5.54167	9.95833	9.6
5.625	9.95833	9.7
5.70833	9.95833	9.8
5.79167	9.95833	9.8
5.875	9.95833	9.8
5.95833	9.95833	10
6.04167	9.95833	10.1
6.125	9.95833	10.1
6.20833	9.95833	10.3
6.29167	9.95833	10.4
6.375	9.95833	10.5
6.45833	9.95833	10.6
6.54167	9.95833	10.8
6.625	9.95833	10.9
6.70833	9.95833	11
6.79167	9.95833	11.1
6.875	9.95833	11.3
6.95833	9.95833	11.4
7.04167	9.95833	11.5
7.125	9.95833	11.6
7.20833	9.95833	11.7
7.29167	9.95833	11.8
7.375	9.95833	11.9
7.45833	9.95833	12.1
7.54167	9.95833	12.2
7.625	9.95833	12.3
7.70833	9.95833	12.4
7.79167	9.95833	12.5
7.875	9.95833	12.6
7.95833	9.95833	12.7
8.04167	9.95833	12.6
8.125	9.95833	12.9
8.20833	9.95833	12.9
8.29167	9.95833	13
8.375	9.95833	13.1
8.45833	9.95833	13.2
8.54167	9.95833	13.2
8.625	9.95833	13.2
8.70833	9.95833	13.3
8.79167	9.95833	13.3
8.875	9.95833	13.4
8.95833	9.95833	13.4
9.04167	9.95833	13.4
9.125	9.95833	13.4
9.20833	9.95833	13.4
9.29167	9.95833	13.4
9.375	9.95833	13.4
9.45833	9.95833	13.4
9.54167	9.95833	13.4
9.625	9.95833	13.4
9.70833	9.95833	13.4
9.79167	9.95833	13.4
9.875	9.95833	13.3
9.95833	9.95833	13.3
0.0416667	9.875	19.7
0.125	9.875	19.7
0.208333	9.875	19.7
0.291667	9.875	20
0.375	9.875	20.4
0.458333	9.875	20.9
0.541667	9.875	21.1
0.625	9.875	21.3
0.708333	9.875	21.5
0.791667	9.875	21.8
0.875	9.875	22.1
0.958333	9.875	22.3
1.04167	9.875	22.4
1.125	9.875	22.5
1.20833	9.875	22.6
1.29167	9.875	22.7
1.375	9.875	22.7
1.45833	9.875	22.6
1.54167	9.875	22.6
1.625	9.875	22.5
1.70833	9.875	22.4
1.79167	9.875	22.2
1.875	9.875	21.9
1.95833	9.875	21.5
2.04167	9.875	21.2
2.125	9.875	21
2.20833	9.875	20.8
2.29167	9.875	20.4
2.375	9.875	19.8
2.45833	9.875	19.2
2.54167	9.875	18.7
2.625	9.875	18.2
2.70833	9.875	17.7
2.79167	9.875	17.3
2.875	9.875	16.7
2.95833	9.875	15.9
3.04167	9.875	15.1
3.125	9.875	14.5
3.20833	9.875	14.1
3.29167	9.875	13.8
3.375	9.875	13
3.45833	9.875	11.9
3.54167	9.875	10.9
3.625	9.875	10.7
3.70833	9.875	10.7
3.79167	9.875	10.3
3.875	9.875	9.3
3.95833	9.875	8.5
4.04167	9.875	8.2
4.125	9.875	8.5
4.20833	9.875	8.6
4.29167	9.875	8.4
4.375	9.875	8.5
4.45833	9.875	8.8
4.54167	9.875	9
4.625	9.875	9.1
4.70833	9.875	9.1
4.79167	9.875	9.1
4.875	9.875	9.2
4.95833	9.875	9.2
5.04167	9.875	9.3
5.125	9.875	9.3
5.20833	9.875	9.4
5.29167	9.875	9.5
5.375	9.875	9.5
5.45833	9.875	9.6
5.54167	9.875	9.6
5.625	9.875	9.7
5.70833	9.875	9.8
5.79167	9.875	9.9
5.875	9.875	10
5.95833	9.875	10.1
6.04167	9.875	10.2
6.125	9.875	10.2
6.20833	9.875	10.4
6.29167	9.875	10.5
6.375	9.875	10.6
6.45833	9.875	10.7
6.54167	9.875	10.9
6.625	9.875	11
6.70833	9.875	11.1
6.79167	9.875	11.2
6.875	9.875	11.4
6.95833	9.875	11.5
7.04167	9.875	11.6
7.125	9.875	11.7
7.20833	9.875	11.8
7.29167	9.875	11.9
7.375	9.875	12.1
7.45833	9.875	12.3
7.54167	9.875	12.4
7.625	9.875	12.4
7.70833	9.875	12.5
7.79167	9.875	12.6
7.875	9.875	12.7
7.95833	9.875	12.8
8.04167	9.875	12.8
8.125	9.875	13
8.20833	9.875	13
8.29167	9.875	13.1
8.375	9.875	13.2
8.45833	9.875	13.3
8.54167	9.875	13.4
8.625	9.875	13.5
8.70833	9.875	13.5
8.79167	9.875	13.5
8.875	9.875	13.5
8.95833	9.875	13.5
9.04167	9.875	13.6
9.125	9.875	13.6
9.20833	9.875	13.6
9.29167	9.875	13.6
9.375	9.875	13.6
9.45833	9.875	13.6
9.54167	9.875	13.7
9.625	9.875	13.7
9.70833	9.875	13.6
9.79167	9.875	13.5
9.875	9.875	13.5
9.95833	9.875	13.5
0.0416667	9.79167	19.8
0.125	9.79167	19.9
0.208333	9.79167	19.9
0.291667	9.79167	20.2
0.375	9.79167	20.6
0.458333	9.79167	21
0.541667	9.79167	21.2
0.625	9.79167	21.4
0.708333	9.79167	21.6
0.791667	9.79167	21.9
